Team,NetEff,Aura
SC Upstate,-19.86,0
UL Monroe,-20.17,-0.2
Central Arkansas,-21.62,-0.1
Northern Illinois,-20.68,-0.5
New Orleans,-21.07,-0.8
Le Moyne,-21.25,-0.2
CSU Fullerton,-23.35,-1
Canisius,-24.12,-0.3
NJIT,-21.43,-0.3
New Hampshire,-24.29,-0.3
Prairie View,-22.59,-1.9
Alabama A&M,-24.85,-0.5
The Citadel,-26.71,-1
Chicago State,-26.4,-0.1
UMES,-26.04,-0.1
Coppin State,-27.69,-0.2
AR-Pine Bluff,-31.64,-1.2
MVSU,-47.96,-4.2
